Designator,Mid X,Mid Y,Rotation,Layer
C1,54.4,-65.8,90.0,top
C10,78.92,-62.6,0.0,top
C11,80.6208,-53.7697,0.0,top
C12,80.6,-60.6,0.0,top
C13,80.6208,-58.3364,0.0,top
C14,80.6,-56.1,0.0,top
C15,61.7125,-61.2175,270.0,top
C16,60.705,-61.2143,90.0,top
C17,61.2,-88.2699,90.0,top
C18,69.7125,-59.5375,180.0,top
C19,70.7125,-56.0375,90.0,top
C2,56.4,-64.0,90.0,top
C20,58.2,-85.7699,0.0,top
C21,64.8925,-64.5375,0.0,top
C22,71.2,-88.4499,90.0,top
C23,68.2,-85.7699,0.0,top
C24,43.4,-64.4,180.0,top
C25,47.2,-68.2,180.0,top
C26,52.6,-62.945,270.0,top
C27,72.1905,-76.4038,180.0,top
C28,72.1905,-77.4038,180.0,top
C29,72.1905,-78.4038,180.0,top
C3,39.2,-69.2,270.0,top
C30,72.1905,-75.4038,180.0,top
C31,72.1905,-74.2,180.0,top
C32,54.8355,-71.6038,0.0,top
C33,100.6,-72.3,90.0,top
C34,94.1,-72.3,270.0,top
C35,100.3495,-68.5849,270.0,top
C36,94.35,-68.6,270.0,top
C37,88.38,-62.6,180.0,top
C38,59.2155,-68.0038,180.0,top
C39,59.2097,-67.0585,180.0,top
C4,37.0,-69.2,270.0,top
C40,59.1905,-66.2038,180.0,top
C41,59.2,-65.2,180.0,top
C42,49.6,-91.0,180.0,top
C43,43.4,-62.4,0.0,top
C5,44.4,-59.2,0.0,top
C6,47.2,-69.8,180.0,top
C7,83.6,-68.1,90.0,top
C8,81.1,-68.1,90.0,top
C9,86.1,-68.1,270.0,top
CARD1,92.0,-83.2,90.0,top
H1,91.5238,-53.1321,0.0,top
H2,91.5175,-56.0,0.0,top
L1,41.6,-67.2,90.0,top
L2,74.1,-65.1,90.0,top
L3,64.2125,-56.0375,0.0,top
L4,71.7355,-72.2038,270.0,top
LED1,51.55,-68.0,0.0,top
R1,42.3825,-79.0,270.0,top
R10,48.88,-57.6,180.0,top
R12,77.6,-68.6,0.0,top
R13,81.6,-64.35,90.0,top
R14,67.2125,-63.8825,90.0,top
R15,68.7125,-62.0375,0.0,top
R16,58.7,-92.2699,0.0,top
R17,64.2,-88.7699,90.0,top
R18,68.2,-92.2699,0.0,top
R19,54.7,-88.7699,90.0,top
R2,42.3825,-75.0,90.0,top
R24,83.25,-87.2,0.0,top
R25,83.25,-89.7,0.0,top
R26,83.0,-79.2,0.0,top
R27,83.25,-81.2,0.0,top
R28,83.25,-83.2,0.0,top
R29,83.0,-85.2,0.0,top
R3,55.0,-59.85,90.0,top
R30,95.95,-63.1,0.0,top
R31,51.0,-86.0,180.0,top
R32,46.8,-86.0,0.0,top
R4,52.2,-60.6,0.0,top
R5,52.95,-59.0,0.0,top
R6,44.0,-67.0,270.0,top
R7,48.25,-59.0,180.0,top
R8,50.6,-59.0,0.0,top
SW1,88.2,-60.6,0.0,top
SW2,94.7,-60.6,0.0,top
U1,78.42,-65.1,90.0,top
U2,48.2,-63.0,180.0,top
U3,68.2,-88.4899,0.0,top
U5,65.0625,-61.0875,90.0,top
U6,63.2,-76.2,45.0,top
U7,35.6,-62.6,270.0,top
U8,58.2,-88.7699,0.0,top
U9,49.8,-88.8,0.0,top
USB1,37.8825,-77.0,270.0,top
X1,97.5,-72.45,0.0,top
X2,97.35,-68.1,0.0,top
